"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Peli2",9.35313395650324e-05,1.02520227145914,0.232,0.015,1
"Cep95",0.000168646173936637,0.810837766191728,0.146,0,1
"Cspg5",0.000339293992489855,0.843643502055484,0.134,0,1
"Lztfl1",0.000339293992489857,1.00938140752899,0.134,0,1
"Errfi1",0.000452024957491971,-0.955446140063683,0,0.119,1
"Abcd2",0.000516883207897713,0.762792422270787,0.232,0.03,1
"Med12l",0.000528134779269672,1.00165142060715,0.268,0.045,1
"Nup153",0.000709890865084834,-1.04785593942588,0.012,0.179,1
"Thrap3",0.00113421737312092,0.810368144621491,0.22,0.03,1
"Ewsr1",0.00126624140643222,0.799849589099489,0.22,0.03,1
"Slc25a37",0.00135723822116478,0.772153993837828,0.11,0,1
"Gm49417",0.0013572382211648,0.679967832831899,0.11,0,1
"Zmat2",0.0013572382211648,0.623262222148801,0.11,0,1
"Gxylt1",0.00135723822116482,0.716514306940418,0.11,0,1
"Gab3",0.00152556636250116,0.415562280687779,0.366,0.134,1
"Aoah",0.00168269384467755,0.656844484313734,0.659,0.373,1
"Plekho1",0.00213225097775953,0.336334850156797,0.317,0.104,1
"Fam117b",0.0022652960345779,0.685700825416125,0.232,0.045,1
"Rabep1",0.00256261251753303,0.648342059900299,0.439,0.179,1
"Dhdds",0.00262286207888704,0.759855292914579,0.171,0.015,1
"Mcur1",0.00270259972172268,0.573472272743526,0.098,0,1
"A930033H14Rik",0.00270259972172274,0.593449220608622,0.098,0,1
"Polr2m",0.00270259972172277,0.749348876446246,0.098,0,1
"Cog8",0.00270259972172277,0.665539885043751,0.098,0,1
"Rabgef1",0.00270259972172277,0.652331016275665,0.098,0,1
"Styx",0.00270259972172277,0.607755243254227,0.098,0,1
"Rnmt",0.00270259972172277,0.600075370418394,0.098,0,1
"Abce1",0.00270259972172277,0.453841489009164,0.098,0,1
"Ciita",0.00270259972172279,0.76761792904891,0.098,0,1
"Topors",0.00270259972172279,0.732004103373967,0.098,0,1
"Ptprn",0.00270259972172279,0.615066668746253,0.098,0,1
"Cox11",0.00270259972172279,0.60221214290709,0.098,0,1
"Arhgef12",0.00277100185202484,0.414209092873097,0.317,0.104,1
"Rpn2",0.00279887276100259,-0.665148356138561,0,0.09,1
"Rapgef5",0.00295192867805963,-1.11891426300944,0.024,0.179,1
"Cbl",0.00309136669944909,0.696472598436918,0.354,0.119,1
"Nrg3",0.00332098013735463,0.689732506214935,0.195,0.03,1
"Mettl23",0.00349959971437987,0.554854500818416,0.341,0.119,1
"Ahr",0.00366542320368533,0.881768691194917,0.159,0.015,1
"Hprt",0.00442698760755463,0.896983437322686,0.195,0.03,1
"Ash1l",0.00475111116626556,0.395492870439319,0.402,0.179,1
"Ube3a",0.00485836029449077,0.44796900145135,0.28,0.09,1
"C3ar1",0.00488829786252384,0.764174025564837,0.159,0.015,1
"Chchd6",0.00537297777302801,0.630401861792764,0.085,0,1
"Chst1",0.00537297777302806,0.703600000644634,0.085,0,1
"BC005624",0.00537297777302806,0.572375301327381,0.085,0,1
"Csk",0.00537297777302806,0.547748356154908,0.085,0,1
"Twf1",0.00537297777302806,0.547613871565575,0.085,0,1
"Fam111a",0.00537297777302806,0.546461104436036,0.085,0,1
"Tmem191c",0.00537297777302806,0.495158672580992,0.085,0,1
"Ntm",0.00537297777302807,0.836040279643287,0.085,0,1
"Tmco1",0.00537297777302807,0.770532026977801,0.085,0,1
"Mrps31",0.00537297777302807,0.688508140014051,0.085,0,1
"Pde6d",0.00537297777302807,0.564820616785449,0.085,0,1
"Tceal5",0.00537297777302807,0.524675918310648,0.085,0,1
"Tmem248",0.00537297777302807,0.439653967533813,0.085,0,1
"Otulinl",0.00654101228482608,0.59291685894701,0.451,0.209,1
"F630028O10Rik",0.00681743251213321,0.407772804368827,0.5,0.254,1
"Atpsckmt",0.00694878146156743,-0.580252528231674,0,0.075,1
"Id2",0.00694878146156744,-0.626093627220947,0,0.075,1
"Tagap",0.00694878146156744,-0.636132233628727,0,0.075,1
"Ccl6",0.00694878146156744,-0.861427518719224,0,0.075,1
"AC112683.2",0.00694878146156758,-0.683636172679098,0,0.075,1
"Pcf11",0.00756846774992073,0.723276958338606,0.183,0.03,1
"Myo1c",0.00799414578449061,-0.883356445699607,0.012,0.134,1
"Slf1",0.00820993176309555,0.588970645255092,0.232,0.06,1
"Cox6c",0.00871070144167124,0.755589243744698,0.146,0.015,1
"Calcrl",0.00879395743007454,0.915268683044272,0.146,0.015,1
"Prr14l",0.00927602397066363,0.399871268252877,0.134,0.015,1
"Sh3bp5",0.00939235928748245,0.77704899056398,0.207,0.045,1
"Rps6ka1",0.00948128236672687,0.837371505923849,0.207,0.045,1
"Creb1",0.00990092103035774,0.238829919087231,0.256,0.09,1
"Glg1",0.00994072895133182,0.41567820222885,0.293,0.104,1
"Nlk",0.0101179575922822,0.43664539963298,0.268,0.09,1
"Cybb",0.0102866302601266,0.724551180324133,0.28,0.09,1
"Tmem234",0.0105643247698323,0.664362811113095,0.232,0.06,1
"Prkra",0.0106803987219056,0.545824144578546,0.073,0,1
"1700021F05Rik",0.0106803987219056,0.557623079610616,0.073,0,1
"Gpr18",0.0106803987219056,0.526822060536948,0.073,0,1
"Vps36",0.0106803987219056,0.505307201925668,0.073,0,1
"Ppp2cb",0.0106803987219056,0.356914967852521,0.073,0,1
"Guk1",0.0106803987219057,0.627323366181237,0.073,0,1
"Ets2",0.0106803987219057,0.59166131539869,0.073,0,1
"Kat8",0.0106803987219057,0.591279930878979,0.073,0,1
"Wdr43",0.0106803987219057,0.524582715650492,0.073,0,1
"Cpped1",0.0106803987219057,0.491930589111349,0.073,0,1
"Gm14539",0.0106803987219057,0.574463005353591,0.073,0,1
"Gm42439",0.0106803987219057,0.549955992285919,0.073,0,1
"Irf4",0.0106803987219057,0.532931822882721,0.073,0,1
"Rabep2",0.0106803987219057,0.480336113288619,0.073,0,1
"Pdhx",0.0106803987219057,0.471954056132363,0.073,0,1
"Nol7",0.0106803987219057,0.422208228424794,0.073,0,1
"Rps18",0.0106803987219058,0.63787060137822,0.073,0,1
"Cbx4",0.0106803987219058,0.556318897141967,0.073,0,1
"Ndufs5",0.0106803987219058,0.554034574586797,0.073,0,1
"LTO1",0.0106803987219058,0.481470246901167,0.073,0,1
"Cd4",0.0106803987219058,0.478896997008393,0.073,0,1
"Dbp",0.0106803987219058,0.47194650826512,0.073,0,1
"Mgll",0.0106803987219058,0.431513686785432,0.073,0,1
"Zgpat",0.0106803987219058,0.403905568484921,0.073,0,1
"Tmem14c",0.0106803987219058,0.384441154748738,0.073,0,1
"Ptgr2",0.010680398721906,0.449846393957835,0.073,0,1
"Cep63",0.010680398721906,0.651710545306016,0.073,0,1
"Prkcz",0.010680398721906,0.482469244132568,0.073,0,1
"Rsl1d1",0.0106803987219061,0.593534623118971,0.073,0,1
"Pde4d",0.0116841750820543,0.423712569396411,0.5,0.269,1
"Fkbp5",0.0119666048200529,-0.574223112584631,0.402,0.582,1
"Ppp3ca",0.012021289868239,-0.0687260615668475,0.744,0.597,1
"Zfp799",0.0124852901622312,0.487347100207024,0.134,0.015,1
"Ldlrad4",0.012662628866546,-0.829927816270054,0.22,0.418,1
"Cbfa2t3",0.0135849084099558,0.53855267104141,0.134,0.015,1
"Calm2",0.0153392948679545,0.0323576545281643,0.573,0.403,1
"Frrs1",0.015535991797476,0.612725497053843,0.134,0.015,1
"Csf2ra",0.0155979039250561,0.684921340143503,0.134,0.015,1
"Casc3",0.0156043891340155,0.712631370335335,0.134,0.015,1
"4930444A19Rik",0.0157597828484348,0.669649712164252,0.22,0.06,1
"Samd4",0.0158215312938999,-0.90628647516817,0.159,0.328,1
"Gm20663",0.0159535943518684,0.907593145483199,0.22,0.06,1
"Mdga2",0.016030884572699,0.629528932349323,0.195,0.045,1
"Rftn1",0.0163165500687481,0.328463358863854,0.451,0.239,1
"Nceh1",0.0164124103990758,-0.799525924796879,0.012,0.119,1
"Zfp942",0.0165672458312834,-0.759543774144878,0.012,0.119,1
"4833439L19Rik",0.0173021710096854,-0.394076108961272,0,0.06,1
"Rgs2",0.0173021710096854,-0.424392473875926,0,0.06,1
"Alkbh8",0.0173021710096854,-0.474037283939542,0,0.06,1
"Eif3s6-ps2",0.0173021710096854,-0.499700525199155,0,0.06,1
"Lyrm2",0.0173021710096854,-0.511067701617205,0,0.06,1
"Cystm1",0.0173021710096854,-0.521686096380256,0,0.06,1
"Zcchc10",0.0173021710096854,-0.524995492330575,0,0.06,1
"Mrpl34",0.0173021710096854,-0.678635176191521,0,0.06,1
"Crtc1",0.0173021710096855,-0.343962103994894,0,0.06,1
"Pole4",0.0173021710096855,-0.356121935260446,0,0.06,1
"Mypop",0.0173021710096855,-0.399309467599894,0,0.06,1
"Pold3",0.0173021710096855,-0.512837345672827,0,0.06,1
"Get4",0.0173021710096855,-0.55271820373381,0,0.06,1
"Tpra1",0.0173021710096855,-0.581118672055886,0,0.06,1
"Tmem50b",0.0173021710096855,-0.58812228419436,0,0.06,1
"Wdr89",0.0173021710096856,-0.366612692687446,0,0.06,1
"C030005K06Rik",0.0173021710096856,-0.651609269173836,0,0.06,1
"Ndufv1",0.0173021710096856,-0.460558907456027,0,0.06,1
"Klhl9",0.0173021710096856,-0.480271229216362,0,0.06,1
"Ssrp1",0.0173021710096856,-0.505252397658578,0,0.06,1
"Eif1ax",0.0173021710096856,-0.573459878950823,0,0.06,1
"Mrps34",0.0173021710096856,-0.266475264603863,0,0.06,1
"Gnptg",0.0173021710096856,-0.442422136420503,0,0.06,1
"Trappc2",0.0173021710096856,-0.447446564581792,0,0.06,1
"Gm15965",0.0173021710096856,-0.448598656301806,0,0.06,1
"Acsf2",0.0173021710096856,-0.45151462036686,0,0.06,1
"Tor2a",0.0173021710096856,-0.498196999394549,0,0.06,1
"Igip",0.0173021710096856,-0.566814548850096,0,0.06,1
"Pfkm",0.0173021710096857,-0.597267556789762,0,0.06,1
"Maf",0.0188829407833872,0.136262504867353,0.61,0.418,1
"4930470G03Rik",0.0191368318600814,-0.737934781541977,0.049,0.194,1
"Tle4",0.019863992728738,-0.778941852721875,0.098,0.269,1
"Tmem164",0.0201639689198009,-0.861172586424245,0.159,0.284,1
"Tacc1",0.0210851000008809,0.625908687571922,0.463,0.254,1
"Bag5",0.0212719617878659,0.50087534001562,0.061,0,1
"Nlrc3",0.0212719617878659,0.363801162102733,0.061,0,1
"Dennd2d",0.021271961787866,0.695172515888038,0.061,0,1
"Mrpl27",0.021271961787866,0.58006249272297,0.061,0,1
"Ankrd46",0.021271961787866,0.552174013891186,0.061,0,1
"Gm1966",0.021271961787866,0.521449548513396,0.061,0,1
"Pyroxd1",0.021271961787866,0.518875393118001,0.061,0,1
"Hba-a1",0.021271961787866,0.499115835892622,0.061,0,1
"Snx11",0.021271961787866,0.491606810838567,0.061,0,1
"Ntrk2",0.021271961787866,0.48558641710215,0.061,0,1
"Ptprz1",0.021271961787866,0.479562718105092,0.061,0,1
"Apopt1",0.021271961787866,0.46756793165844,0.061,0,1
"B130034C11Rik",0.021271961787866,0.463107466797703,0.061,0,1
"Eef1b2",0.021271961787866,0.460487480431673,0.061,0,1
"Ptpn6",0.021271961787866,0.443870567506928,0.061,0,1
"Mlh1",0.021271961787866,0.433990023510127,0.061,0,1
"B3galt6",0.021271961787866,0.43358829639522,0.061,0,1
"Slc30a6",0.021271961787866,0.432901591407444,0.061,0,1
"Nup35",0.021271961787866,0.43276630567383,0.061,0,1
"Vps33b",0.021271961787866,0.429151600255683,0.061,0,1
"Rnase6",0.021271961787866,0.428371558379788,0.061,0,1
"Zfp994",0.021271961787866,0.424380237536566,0.061,0,1
"Lrrc57",0.021271961787866,0.419254827632795,0.061,0,1
"Slc35a2",0.021271961787866,0.417914981442868,0.061,0,1
"Ppp1r18",0.021271961787866,0.41254914765538,0.061,0,1
"Rab11b",0.021271961787866,0.408111033667087,0.061,0,1
"Etfbkmt",0.021271961787866,0.394808389719465,0.061,0,1
"Lcmt1",0.021271961787866,0.391998482647406,0.061,0,1
"Zfp3",0.021271961787866,0.373966628018206,0.061,0,1
"Myh10",0.021271961787866,0.367107185101218,0.061,0,1
"Nqo2",0.021271961787866,0.362812227266948,0.061,0,1
"Adprh",0.021271961787866,0.361512971504095,0.061,0,1
"Gm18445",0.021271961787866,0.354679530238032,0.061,0,1
"Ccdc122",0.021271961787866,0.353842107750184,0.061,0,1
"Rbfa",0.021271961787866,0.333884758134406,0.061,0,1
"Nlgn3",0.021271961787866,0.31872034709574,0.061,0,1
"Selenoo",0.021271961787866,0.313020983158514,0.061,0,1
"Kcnip2",0.021271961787866,0.301754213540982,0.061,0,1
"Coq3",0.0212719617878661,0.56583739063358,0.061,0,1
"Exoc7",0.0212719617878661,0.418306233232301,0.061,0,1
"Pbdc1",0.0212719617878661,0.353865512836192,0.061,0,1
"Dennd5b",0.0212719617878661,0.283823180179202,0.061,0,1
"Gria4",0.0212719617878661,0.564723026927818,0.061,0,1
"Nbdy",0.0212719617878661,0.557157016408344,0.061,0,1
"Cdkn2aip",0.0212719617878661,0.544544816735434,0.061,0,1
"Borcs6",0.0212719617878661,0.541964635293239,0.061,0,1
"Scap",0.0212719617878661,0.528061409898743,0.061,0,1
"Txnl4a",0.0212719617878661,0.517961530331193,0.061,0,1
"Agpat4",0.0212719617878661,0.504770099553249,0.061,0,1
"Psd4",0.0212719617878661,0.499206124673261,0.061,0,1
"Rmnd5b",0.0212719617878661,0.489926821254083,0.061,0,1
"Prmt1",0.0212719617878661,0.478416736399151,0.061,0,1
"Gorasp2",0.0212719617878661,0.477438815252508,0.061,0,1
"2310001H17Rik",0.0212719617878661,0.474322335284842,0.061,0,1
"Dhx40",0.0212719617878661,0.459217773637752,0.061,0,1
"Gm26672",0.0212719617878661,0.432044804221903,0.061,0,1
"Cpox",0.0212719617878661,0.430990448797797,0.061,0,1
"Sun1",0.0212719617878661,0.424791195283534,0.061,0,1
"Casp1",0.0212719617878661,0.422722797316956,0.061,0,1
"Arhgdig",0.0212719617878661,0.421607636598445,0.061,0,1
"Nup43",0.0212719617878661,0.420516483976752,0.061,0,1
"Xkr6",0.0212719617878661,0.413027228182536,0.061,0,1
"Gm5577",0.0212719617878661,0.41260608388067,0.061,0,1
"Pcgf6",0.0212719617878661,0.397700500762758,0.061,0,1
"Dtx3",0.0212719617878661,0.395568835103291,0.061,0,1
"Mgat2",0.0212719617878661,0.389433544310087,0.061,0,1
"Aasdh",0.0212719617878661,0.388951742633287,0.061,0,1
"Gm10516",0.0212719617878661,0.379561177216773,0.061,0,1
"Xpo4",0.0212719617878661,0.367911741808243,0.061,0,1
"Trim28",0.0212719617878661,0.359020237174081,0.061,0,1
"Ginm1",0.0212719617878661,0.330403230437859,0.061,0,1
"Nicn1",0.0212719617878661,0.328362458044027,0.061,0,1
"Srcap",0.0212719617878661,0.316015281976538,0.061,0,1
"Zfp532",0.0212719617878661,0.279219298059949,0.061,0,1
"Dpy30",0.0212719617878662,0.392532025625121,0.061,0,1
"Ncoa1",0.0213451221764108,0.306721691545408,0.476,0.269,1
"AC149090.1",0.0214645455041495,0.615035812437752,0.5,0.284,1
"Ly6h",0.0216208424237079,0.617220219803327,0.28,0.104,1
"Wac",0.0219712523172722,0.521187674416463,0.232,0.075,1
"Asb3",0.0219800433339347,0.559406666513276,0.207,0.06,1
"Fuca1",0.02212444461034,0.658116273967821,0.159,0.03,1
"Cep85l",0.022420059546565,0.716626472242876,0.159,0.03,1
"0610030E20Rik",0.0232412553397581,0.591954139351564,0.183,0.045,1
"Usp48",0.0237987676004313,0.578981301060542,0.183,0.045,1
"Gphn",0.023965228994482,-0.0897519084143192,0.476,0.328,1
"Cct6a",0.024508780108435,0.576569832660614,0.122,0.015,1
"Pacsin2",0.0255661495042744,0.786717117507068,0.256,0.09,1
"Akap11",0.0257213616716345,0.592578493434606,0.122,0.015,1
"Kat6a",0.0258515321837186,0.645040154613794,0.256,0.09,1
"Nnat",0.025893707184507,0.602984832936319,0.122,0.015,1
"Osbpl8",0.0259283947671385,0.0878695178193845,0.402,0.239,1
"Pde8a",0.025979669198953,-0.935061527293152,0.024,0.134,1
"Fcgr3",0.0260982497227038,-0.696239572180119,0.037,0.164,1
"Cebpd",0.0267687715430247,0.635767092102478,0.122,0.015,1
"Cdc37l1",0.0270067039290827,0.321112344172352,0.256,0.104,1
"Chpt1",0.027049606970474,0.698388362226078,0.122,0.015,1
"Klhl5",0.0270838268782538,0.614400963882418,0.122,0.015,1
"Srsf4",0.0272634551219792,0.61965412011527,0.122,0.015,1
"Nfxl1",0.0274754454325288,0.402477995436558,0.317,0.134,1
"Cltc",0.0287939419882725,-0.0106601233964818,0.463,0.328,1
"Rbm33",0.0291580396825648,-0.861663143152193,0.073,0.209,1
"Fam110b",0.0292385445543932,0.39212943973585,0.171,0.045,1
"C1qa",0.0295843962091775,-0.766493828808243,0.268,0.448,1
"Asap1",0.0298616871679386,0.0171158129306905,0.451,0.299,1
"Gm26740",0.0300016813913814,0.249733346894621,0.573,0.373,1
"Rps6ka3",0.030189838396026,0.318722386517039,0.305,0.134,1
"Dst",0.0306113731657057,-0.405044919592125,0.305,0.239,1
"Slc8a1",0.0308394760086239,-0.419956230771266,0.744,0.851,1
"Mpp1",0.0309482886508305,0.43634286417632,0.22,0.075,1
"Tmem131",0.0317783676271406,-0.774048177905969,0.146,0.284,1
"Qdpr",0.0322955991105566,-0.643224659718203,0.012,0.104,1
"Gdi2",0.0323893558794763,0.275479436778201,0.366,0.179,1
"Nlgn1",0.032495301892271,0.763228061304044,0.146,0.03,1
"Gmip",0.0326406142355042,0.429062066891051,0.171,0.045,1
"Uvrag",0.0329984534066071,0.0986941576429432,0.585,0.418,1
"AU020206",0.033103136155157,0.221328468931084,0.183,0.06,1
"B230219D22Rik",0.0340963063799931,-0.70705355834366,0.049,0.179,1
"Ifngr2",0.0346801259611675,0.355638011188673,0.22,0.075,1
"Snx20",0.034871913725414,0.564143809472052,0.146,0.03,1
"Ptgs1",0.0350806673355425,-0.785258741545114,0.061,0.194,1
"Npm1",0.035662840675566,-0.564130470462981,0.012,0.104,1
"Tlr4",0.0358384212036314,0.08064841776583,0.244,0.119,1
"Nedd4l",0.0359477199454493,0.598680709848447,0.268,0.104,1
"Mt1",0.0360611343932747,0.816933857016011,0.171,0.045,1
"Eps15l1",0.0360980112284459,0.371533617221209,0.232,0.09,1
"Zbtb7a",0.0365932817097071,0.50146313976189,0.22,0.075,1
"Spats2",0.0368737487780857,0.729837579959313,0.146,0.03,1
"Smc1a",0.0369215861227335,-0.898162706201663,0.049,0.164,1
"Baiap2",0.0376071278396183,-0.814169594202183,0.037,0.149,1
"Stk19",0.0381517855496595,0.3510843837411,0.11,0.015,1
"Mllt3",0.0382399176417462,0.771564651361491,0.171,0.045,1
"Rasa1",0.0390027967717008,-0.448527105339222,0.28,0.269,1
"Asxl2",0.0397590650896882,0.166092643671459,0.268,0.134,1
"Ndufa7",0.040056350156246,0.580636886725976,0.171,0.045,1
"Eps8",0.040607210747991,0.204306312220383,0.28,0.134,1
"Nfe2l2",0.0412778421025638,-0.514776668076315,0.11,0.269,1
"Snhg20",0.0417376610341304,-0.734986246558815,0.073,0.209,1
"Zfp217",0.0421823905037615,0.43797797339312,0.11,0.015,1
"Zfyve26",0.0423450927472381,0.533869984989704,0.11,0.015,1
"Glt8d1",0.0425657824389433,0.635760029381718,0.171,0.045,1
"Ddx41",0.0425873146902065,0.538010976995016,0.049,0,1
"Nmnat3",0.0425873146902065,0.446837123899603,0.049,0,1
"Tlr11",0.0425873146902065,0.411856149472329,0.049,0,1
"Gm36992",0.0425873146902065,0.404445180296741,0.049,0,1
"Fjx1",0.0425873146902065,0.392693911222162,0.049,0,1
"Dpp4",0.0425873146902065,0.390217959933128,0.049,0,1
"Ccr9",0.0425873146902065,0.38143887111938,0.049,0,1
"Akt1",0.0425873146902065,0.362166756318573,0.049,0,1
"Tram2",0.0425873146902065,0.360627497999566,0.049,0,1
"Adat1",0.0425873146902065,0.359016049334984,0.049,0,1
"Mrpl10",0.0425873146902065,0.35149190907791,0.049,0,1
"Plk2",0.0425873146902065,0.34976146098205,0.049,0,1
"Grp",0.0425873146902065,0.347095698456274,0.049,0,1
"Grpel2",0.0425873146902065,0.316142255768758,0.049,0,1
"Zdhhc2",0.0425873146902065,0.287645665804333,0.049,0,1
"Fzr1",0.0425873146902065,0.278860064565537,0.049,0,1
"Mrpl22",0.0425873146902065,0.278558993198365,0.049,0,1
"Clcc1",0.0425873146902065,0.277646497337592,0.049,0,1
"Dtna",0.0425873146902065,0.272679322355635,0.049,0,1
"Etfrf1",0.0425873146902065,0.270565484761773,0.049,0,1
"Zfhx2",0.0425873146902065,0.263495860934812,0.049,0,1
"Rrm1",0.0425873146902065,0.254510480554434,0.049,0,1
"1700086O06Rik",0.0425873146902065,0.252036663766873,0.049,0,1
"Api5",0.0425873146902065,0.198454525876257,0.049,0,1
"Exosc4",0.0425873146902067,0.496250111760951,0.049,0,1
"Anxa6",0.0425873146902067,0.477506881842535,0.049,0,1
"Tap2",0.0425873146902067,0.475732464098313,0.049,0,1
"Caskin1",0.0425873146902067,0.470416884178796,0.049,0,1
"Dffb",0.0425873146902067,0.46181936993476,0.049,0,1
"Tmem246",0.0425873146902067,0.459865014983026,0.049,0,1
"Dnajc2",0.0425873146902067,0.443948494662918,0.049,0,1
"Rnf5",0.0425873146902067,0.432726427052808,0.049,0,1
"Srsf9",0.0425873146902067,0.426240777290291,0.049,0,1
"Eif2b4",0.0425873146902067,0.424108299507286,0.049,0,1
"Tspan4",0.0425873146902067,0.419146351895947,0.049,0,1
"Lpcat3",0.0425873146902067,0.414077711833204,0.049,0,1
"Zbtb4",0.0425873146902067,0.411254853578602,0.049,0,1
"Rpgr",0.0425873146902067,0.407955104998725,0.049,0,1
"Nucb1",0.0425873146902067,0.402173380059295,0.049,0,1
"Haus6",0.0425873146902067,0.399539815894182,0.049,0,1
"Tiam2",0.0425873146902067,0.388061258857601,0.049,0,1
"Mak16",0.0425873146902067,0.383854442794292,0.049,0,1
"Map1s",0.0425873146902067,0.377447117840589,0.049,0,1
"Ppp1r15b",0.0425873146902067,0.375926813480179,0.049,0,1
"Cops9",0.0425873146902067,0.375101267267064,0.049,0,1
"Nolc1",0.0425873146902067,0.358253039261648,0.049,0,1
"Zfp219",0.0425873146902067,0.356212222083173,0.049,0,1
"Gpbp1",0.0425873146902067,0.341607747029185,0.049,0,1
"Kmt2b",0.0425873146902067,0.330643297464111,0.049,0,1
"Ccdc32",0.0425873146902067,0.329898428301258,0.049,0,1
"Opalin",0.0425873146902067,0.328756029677026,0.049,0,1
"Gm49355",0.0425873146902067,0.325808557246781,0.049,0,1
"Arl2bp",0.0425873146902067,0.325180850211461,0.049,0,1
"Polk",0.0425873146902067,0.320607653588477,0.049,0,1
"Tnfaip8l2",0.0425873146902067,0.318546723817232,0.049,0,1
"Csrp1",0.0425873146902067,0.31607179918608,0.049,0,1
"Ptger4",0.0425873146902067,0.315486196251394,0.049,0,1
"Wdr76",0.0425873146902067,0.313956233073092,0.049,0,1
"I830077J02Rik",0.0425873146902067,0.312704672265888,0.049,0,1
"Ankrd28",0.0425873146902067,0.312663081114997,0.049,0,1
"4933407K13Rik",0.0425873146902067,0.312396291177532,0.049,0,1
"Prr13",0.0425873146902067,0.307310108177736,0.049,0,1
"Eral1",0.0425873146902067,0.303338894279448,0.049,0,1
"Gm38266",0.0425873146902067,0.301854123601551,0.049,0,1
"Prr5",0.0425873146902067,0.299797332121186,0.049,0,1
"Tsc2",0.0425873146902067,0.297716049302985,0.049,0,1
"Retreg2",0.0425873146902067,0.287220689053529,0.049,0,1
"Tmem183a",0.0425873146902067,0.282988719720016,0.049,0,1
"Slc2a8",0.0425873146902067,0.272936721928728,0.049,0,1
"Pirb",0.0425873146902067,0.25753838097049,0.049,0,1
"Rbak",0.0425873146902067,0.244103888745352,0.049,0,1
"Tcaim",0.0425873146902067,0.243008289221352,0.049,0,1
"Hmbs",0.0425873146902067,0.202690339496867,0.049,0,1
"Nlrp1c-ps",0.042587314690207,0.450176648894539,0.049,0,1
"Nars2",0.042587314690207,0.424525839712181,0.049,0,1
"Sh3bgrl2",0.042587314690207,0.395523573429328,0.049,0,1
"Msl1",0.042587314690207,0.385104063161962,0.049,0,1
"Zfp422",0.042587314690207,0.373134478151494,0.049,0,1
"Cmtm3",0.042587314690207,0.361960420773386,0.049,0,1
"Gpkow",0.042587314690207,0.353081593666928,0.049,0,1
"Ndc1",0.042587314690207,0.342059819302247,0.049,0,1
"Gm47350",0.042587314690207,0.334043688096626,0.049,0,1
"Mgst3",0.042587314690207,0.327100949582725,0.049,0,1
"Hif1an",0.042587314690207,0.326947394166679,0.049,0,1
"Eif2s1",0.042587314690207,0.283464315806577,0.049,0,1
"Clstn3",0.042587314690207,0.275426687493751,0.049,0,1
"Rbm24",0.042587314690207,0.269200143542002,0.049,0,1
"Ptprn2",0.042587314690207,0.247661010004355,0.049,0,1
"BC029722",0.042587314690207,0.246684216724571,0.049,0,1
"Olig1",0.042587314690207,0.242387523894689,0.049,0,1
"Fopnl",0.042587314690207,0.207223908040655,0.049,0,1
"Nrsn2",0.042587314690207,0.467533484571798,0.049,0,1
"Atp5k",0.042587314690207,0.459226449159738,0.049,0,1
"Polm",0.042587314690207,0.434757378792386,0.049,0,1
"Gm12258",0.042587314690207,0.429944696051282,0.049,0,1
"Sprtn",0.042587314690207,0.424511360977184,0.049,0,1
"Narf",0.042587314690207,0.423983928869958,0.049,0,1
"Gm43361",0.042587314690207,0.42216140160401,0.049,0,1
"Asphd2",0.042587314690207,0.412227397719206,0.049,0,1
"Zfp189",0.042587314690207,0.408866337949917,0.049,0,1
"Noa1",0.042587314690207,0.394557351766134,0.049,0,1
"Gm12350",0.042587314690207,0.390632344106615,0.049,0,1
"Ahsa1",0.042587314690207,0.374785431681677,0.049,0,1
"Cracr2b",0.042587314690207,0.372630599667956,0.049,0,1
"Ccng1",0.042587314690207,0.370731013980785,0.049,0,1
"Them4",0.042587314690207,0.360500028188807,0.049,0,1
"Syngr3",0.042587314690207,0.359292835851839,0.049,0,1
"Gm6863",0.042587314690207,0.343835128598526,0.049,0,1
"Snhg6",0.042587314690207,0.343471819146745,0.049,0,1
"Fdxr",0.042587314690207,0.33808667607853,0.049,0,1
"1600020E01Rik",0.042587314690207,0.337962310191494,0.049,0,1
"Nkapd1",0.042587314690207,0.336906816831896,0.049,0,1
"Alkbh2",0.042587314690207,0.329032855727907,0.049,0,1
"Tor3a",0.042587314690207,0.317609048559402,0.049,0,1
"Msantd4",0.042587314690207,0.308271982542828,0.049,0,1
"Wnk2",0.042587314690207,0.306980859782533,0.049,0,1
"Cenpu",0.042587314690207,0.296593049752993,0.049,0,1
"Fam8a1",0.042587314690207,0.275025728690159,0.049,0,1
"Ippk",0.042587314690207,0.263922244076104,0.049,0,1
"Elp1",0.042587314690207,0.26376057084794,0.049,0,1
"Mrpl11",0.0425873146902072,0.440091976211981,0.049,0,1
"Scpep1os",0.0425873146902072,0.419289495768236,0.049,0,1
"Gm28417",0.0425873146902072,0.4130110742691,0.049,0,1
"Ctns",0.0425873146902072,0.40619985462722,0.049,0,1
"Nadsyn1",0.0425873146902072,0.397945682018897,0.049,0,1
"Mrpl12",0.0425873146902072,0.380914188642384,0.049,0,1
"Zfp40",0.0425873146902072,0.370978896654668,0.049,0,1
"Gm15441",0.0425873146902072,0.365886032723953,0.049,0,1
"Ttc4",0.0425873146902072,0.349812785275395,0.049,0,1
"6230400D17Rik",0.0425873146902072,0.337409647180282,0.049,0,1
"Ap5z1",0.0425873146902072,0.334077924134802,0.049,0,1
